Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
456,2/23/2023,6:29:58 PM,376,191.1111111
457,2/23/2023,6:29:59 PM,376,191.1111111
458,2/23/2023,6:30:00 PM,376,191.1111111
459,2/23/2023,6:30:01 PM,375,190.5555556
460,2/23/2023,6:30:02 PM,375,190.5555556
461,2/23/2023,6:30:03 PM,375,190.5555556
462,2/23/2023,6:30:04 PM,375,190.5555556
463,2/23/2023,6:30:05 PM,375,190.5555556
464,2/23/2023,6:30:06 PM,374,190
465,2/23/2023,6:30:07 PM,374,190
466,2/23/2023,6:30:08 PM,374,190
467,2/23/2023,6:30:09 PM,373,189.4444444
468,2/23/2023,6:30:10 PM,373,189.4444444
469,2/23/2023,6:30:11 PM,373,189.4444444
470,2/23/2023,6:30:12 PM,373,189.4444444
471,2/23/2023,6:30:13 PM,373,189.4444444
472,2/23/2023,6:30:14 PM,372,188.8888889
473,2/23/2023,6:30:15 PM,372,188.8888889
474,2/23/2023,6:30:16 PM,372,188.8888889
475,2/23/2023,6:30:17 PM,372,188.8888889
476,2/23/2023,6:30:18 PM,371,188.3333333
477,2/23/2023,6:30:19 PM,371,188.3333333
478,2/23/2023,6:30:20 PM,371,188.3333333
479,2/23/2023,6:30:21 PM,370,187.7777778
480,2/23/2023,6:30:22 PM,370,187.7777778
481,2/23/2023,6:30:23 PM,370,187.7777778
482,2/23/2023,6:30:24 PM,370,187.7777778
483,2/23/2023,6:30:25 PM,370,187.7777778
484,2/23/2023,6:30:26 PM,369,187.2222222
485,2/23/2023,6:30:27 PM,369,187.2222222
486,2/23/2023,6:30:28 PM,369,187.2222222
487,2/23/2023,6:30:29 PM,368,186.6666667
488,2/23/2023,6:30:30 PM,368,186.6666667
489,2/23/2023,6:30:31 PM,368,186.6666667
490,2/23/2023,6:30:33 PM,368,186.6666667
491,2/23/2023,6:30:34 PM,368,186.6666667
492,2/23/2023,6:30:35 PM,367,186.1111111
493,2/23/2023,6:30:36 PM,367,186.1111111
494,2/23/2023,6:30:37 PM,367,186.1111111
495,2/23/2023,6:30:38 PM,366,185.5555556
496,2/23/2023,6:30:39 PM,366,185.5555556
497,2/23/2023,6:30:40 PM,366,185.5555556
498,2/23/2023,6:30:41 PM,366,185.5555556
499,2/23/2023,6:30:42 PM,366,185.5555556
500,2/23/2023,6:30:43 PM,365,185
501,2/23/2023,6:30:44 PM,365,185
502,2/23/2023,6:30:45 PM,365,185
503,2/23/2023,6:30:46 PM,365,185
504,2/23/2023,6:30:47 PM,364,184.4444444
505,2/23/2023,6:30:48 PM,364,184.4444444
